Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
9216,42.32,2.626,1,0,0
179424,19.6,2.712,1,0,0
227664,22.91,3.016,1,0,0
3072,60.03,2.908,0,0,0
20816,16.3,3.0,1,0,0
448544,19.12,3.719,157,1,0
173112,23.96,4.782,102,1,0
296392,28.17,5.018,55,0,0
593848,13.99,5.641,38,1,0
16048,18.41,2.761,1,0,0
140800,24.01,2.88,1,0,0
82784,9.12,2.728,1,0,0
43856,21.59,2.407,1,0,0
64336,18.62,2.61,1,0,0
767784,26.14,3.047,1,0,0
26872,10.49,2.84,1,0,0
992632,20.75,4.884,250,2,0
15160,18.73,2.747,1,0,0
19240,17.94,2.918,1,0,0
335872,34.16,3.271,125,1,0
91384,14.05,2.783,1,0,0
53488,16.47,3.038,1,0,0
149288,26.56,3.796,0,0,0
4754792,30.37,4.709,340,1,0
23472,14.66,2.57,1,0,0
30520,12.2,3.446,1,0,0
24256,10.93,4.159,0,0,0
111504,21.73,3.852,129,0,0
10467160,14.94,5.471,182,2,0
20792,17.69,2.787,1,0,0
15296,19.38,2.659,1,0,0
741688,31.42,2.876,1,0,0
15648,18.56,2.679,1,0,0
16720,18.39,2.764,1,0,0
17704,14.64,2.889,1,0,0
162616,11.7,3.032,1,0,0
16296,18.23,2.717,1,0,0
237368,14.11,2.965,1,0,0
60352,24.05,5.099,116,0,0
56320,20.06,4.123,0,0,0
4608,55.25,2.671,1,0,0
21328,19.24,2.726,1,0,0
18784,23.11,3.622,0,0,0
527872,20.2,5.642,113,0,0
29696,12.66,2.816,1,0,0
21288,20.49,2.783,1,0,0
22280,11.99,4.167,0,0,0
21232,14.65,2.746,1,0,0
16720,18.91,2.736,1,0,0
593848,14.18,5.214,545,1,0
90409464,19.84,5.851,189,2,0
227760,21.22,4.296,0,0,0
220240,27.27,5.118,133,1,0
174080,25.62,2.87,1,0,0
46888,40.66,2.655,0,0,0
168504,21.39,4.368,168,1,0
